tipo,oferente,programa,pais,institucion,area,modalidad,fecha_limite,estado
Maestría,Tsinghua University,"Beca Schwarzman Scholars para máster en China, 2024",China,Tsinghua University,Administración y Ciencias sociales,Presencial,2026-09-01,
Formación,Schwarzman Scholars,Master of Global Affairs degree,China,Tsinghua University,Educación comercial y administración,Presencial,2026-09-01,VIGENTE
Doctorado,Swansea University,Postgraduate International Excellence Scholarship,Reino Unido,Swansea University,Varias áreas,Presencial,2025-07-15,
Pregrado,Gobierno de Canadá,"Becas Banting Postdoctoral Fellowships, 2023",Canadá,Varias,"Ciencias naturales, exactas y de la computación. Ciencias sociales, administración y derecho. Ingeniería, manufactura y construcción",Presencial,2024-09-17,
Pregrado,GENESEO,Tuition Cost and Scholarships for International Students,Estados Unidos,Varias,Varias áreas,Presencial,2026-10-01,
Maestria,Fundación Rosa Luxemburgo.,"Becas para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2023-2",Alemania,Fundación Rosa Luxemburgo.,"Agronomía y veterinaria, Educación, Salud, Servicios
Artes y humanidades, Manufactura y construcción
Ciencias naturales, exactas y de la computación
Ciencias sociales, administración y derecho, Ingeniería",Presencial,2026-10-01,
Maestria,OEA,"Becas OEA – Structuralia, 2025",España,La Organización de Estados Americanos,"Ciencias naturales, exactas y de la computación
Ciencias sociales, administración y derecho
Ingeniería, manufactura y construcción, Servicios",En linea,2026-04-30,
Maestría,Chulabhorn Graduate Institute,"Becas de Posgrado en Tailandia en el Chulabhorn Graduate Institute, 2025",Tailandia,Chulabhorn Graduate Institute,"Ciencias Naturales, Exactas y de la Computación",Presencial,2024-09-30,
Maestría,Universidad de Dalarna en Suecia,Becas de la Universidad de Dalarna en Suecia,Suecia,Universidad de Dalarna en Suecia,"Estudios Empresariales Internacionales, Ciencia de 
datos, turismo, Ing de materiales y diseño de productos.",Presencial,2026-02-15,
Formación,Funiber,"Becas FUNIBER de Excelencia Académica LATAM, 2023-2024",España,Universidad Europea del Atlántico.,"Agronomía y veterinaria,Artes y humanidades, Ciencias naturales, exactas y de la computación, Ciencias sociales, administración y derecho, Educación, Ingeniería, manufactura y construcción, Salud, Servicios",Presencial,2026-10-15,
Pregrado,Lincoln University,Lincoln University International Undergraduate Scholarship,Nueva Zelanda,Varias,Varias áreas,Presencial,2026-06-30,
Pregrado,Lincoln University,Lincoln University International Pathway Merit Scholarship,Nueva Zelanda,Varias,Varias áreas,Presencial,2026-10-31,
Pregrado,The University of British Columbia,International Scholars,Canadá,Varias,Varias áreas,Presencial,2026-11-15,URGENTE
Investigación,Radcliffe Institute for Advanced Study de la Universidad de Harvard,"Becas del Radcliffe Institute for Advanced Study de la Universidad de Harvard, 2024-2025",Estados Unidos,Universidad de Harvard,Varias áreas,Presencial,2024-10-03,
Maestría / Doctorado,Universidad de Deakin,HDR Scholarship - Research Training Program Scholarship (RTP) / Deakin University Postgraduate Research Scholarship (DUPR),Australia,Universidad de Deakin,Varias áreas,Presencial,2026-03-13,
Posgrado,Stanford University,"Becas Knight Hennessy en la Universidad de Stanford, Estados Unidos, 2024-2025",Estados Unidos,Stanford University,Varias áreas,Presencial,2026-10-09,
Posgrado,The University of Sydney,Vice-Chancellor's International Scholarships Scheme,Australia,The University of Sydney,Varias áreas,Presencial,2026-03-23,
Prácticas,Organización para la Cooperación y el Desarrollo Económicos (OCDE),"Programa de Pasantías de la OCDE en París, Francia, 2022",Francia,Empresas para prácticas en Paris,"Agronomía y veterinaria, Artes y humanidades, Ciencias naturales, exactas y de la computación, Ciencias sociales, administración y derecho,Educación, Ingeniería, manufactura y construcción, Salud, Servicios",Presencial,2025-10-15,VIGENTE
Posgrado,Unión Europea,Becas globo común (SENESCYT),España,Universidad Europea,"Biomédicas, educación, empresa, STEAM, jurídico",Virtual,2026-04-01,
Posgrado,La Universidad de  Oxford,"Beca Reach Oxford Scholarship para países en desarrollo en la Universidad de Oxford, 2025",Reino Unido,La Universidad de  Oxford,Varias áreas,Presencial,2026-01-31,
Posgrado,Lincoln University,Lincoln University Doctoral Scholarships,Nueva Zelanda,Lincoln University,Varias áreas,Presencial,2026-10-01,
Posgrado,University of Canterbury,NZ SFPE Fire Engineering Scholarship,Nueva Zelanda,University of Canterbury,Ingenierías,Presencial,2025-11-01,
Formación,La Universidad de MiamI,Becas Universidad de Miami para estudios de Grado 2025,Estados Unidos,La Universidad de MiamI,Varias áreas,Presencial,2026-12-01,
Doctorado,DAAD,Research Grants in Germany,Alemania,Universidad Alemana,Varias áreas,Presencial,2026-10-30,
Maestría / Doctorado,Gobierno de Canadá,Becas Vanier Canadá,Canadá,Universidades canadienses subscritas,"Ciencias naturales, Ingenieria, Ciencias sociales y humanidades",Presencial,2024-10-30,
Formación,Global Affairs Canada y es gestionada por la Secretaría Internacional de UMAP,"Becas UMAP - Canada Scholarship Program, 2024-2025",Canadá,Universidad de Canada,Varias áreas,Presencial,2025-03-31,
Maestría,OEA-Universidad Europea,Convocatoria de becas PAEC Universidad Europea - OEA,España,Universidad Europea,Varias áreas,Virtual,2026-10-01,
Formación,Universidad de Oxford,Beca Completa Clarendon 2025,Reino Unido,Universidad de Oxford,Varias áreas,Presencial,2026-12-01,
Pregrado,The University of Queensland,Beca Destino Australia (estudiantes internacionales),Australia,The University of Queensland,Varias áreas,Presencial,2026-03-08,
Maestría,ETH Zurich,Excellence Scholarship & Opportunity Programme,Suiza,ETH Zurich,Ingeniería,Presencial,2024-11-30,
Maestría,University of the Fraser Valley,International Regional Entrance Scholarship,Canadá,University of the Fraser Valley,Humanidades,Presencial,2026-03-01,
Pregrado,The University of Winnipeg,President’s Scholarship for World Leaders,Canadá,The University of Winnipeg,Humanidades,Presencial,2026-10-31,
Postgrado,Universidad de Oxford,Becas Completas Rhodes en Reino Unido 2025,Reino Unido,Universidad de Oxford,Varias áreas,Presencial,2024-11-01,
Postgrado,Universidades de Eslovaquia,Universidades de Eslovaquia,Eslovaquia,Universidades de Eslovaquia,Varias áreas,Presencial,2026-04-30,
Formación,Instituto de Ciencia y Tecnología de Okinawa,OIST Research Internship Program Description,Japón,Instituto de Ciencia y Tecnología de Okinawa,Varias áreas,Presencial,2026-03-31,
Postgrado,Comisión para Países en Desarrollo de la Unión Matemática Internacional,Abel Visiting Scholar Program,Alemania,Abel Visiting Scholar,Matematicas,Presencial,2025-04-30,
Pregrado,Universidad de York,Becas de la Universidad de York en Canadá,Canadá,Universidad de York,Varias áreas,Presencial,2026-04-01,
Doctorado,Universidad de Victoria de Wellington,Wellington Doctoral Scholarship,Nueva Zelanda,Universidad de Victoria de Wellington,Varias áreas,Presencial,2026-03-01,
Pregrado/Maestría,Universidad de Alabama en Birmingham,Becas para estudiantes internacionales de la Universidad de Alabama en Birmingham,Estados Unidos,Universidad de Alabama en Birmingham,Varias áreas,Presencial,2026-05-01,
Doctorado,Gerda Henkel Stiftung,"Beca Doctoral de la Fundación Gerda Henkel, 2025",Alemania,Gerda Henkel Stiftung,Arqueologia y Arte,Presencial,Todo el año,
Postdoctoral,Fundación Alexander von Humboldt-Stiftung,Beca Fundación Alexander von Humboldt-Stiftung,Alemania,Fundación Alexander von Humboldt – Stiftung de Alemania.,Varias áreas,Presencial,2026-03-01,
Postdoctoral,Fundación Heinrich Böll,Becas Heinrich Böll – Alemania,Alemania,Fundación Heinrich Böll,Varias áreas,Presencial,2026-03-01,
Pregrado,Universidad de Toronto,Becas Completas Lester B. Pearson en la Universidad de Toronto – Canadá 2025,Canadá,"Universidad de Toronto, Canadá.",Varias áreas,Presencial,2024-11-15,
Pregrado/Maestría,Minerva Foundation,Minerva Scholarship Fund,Holanda,Universidad de Leiden,"Arqueología, ciencias socuiales, sciecias puras",Presencial,2026-04-15,
Maestría / Doctorado,Departamento de Educación y Capacitación de la Commonwealth,Becas Completas de la Universidad Nacional de Australia 2025,Australia,Universidad Nacional de Australia,Varias áreas,Presencial,2026-04-15,
Investigación,Gerda Henkel Stiftung,"Beca de Investigación de la Fundación Gerda Henkel, 2025",Alemania,Gerda Henkel Stiftung,Arqueologia y Arte,Presencial,2026-05-28,
Formación,La Universidad Europea del Atlántico,Becas para estudiantes internacionales UNEATLANTICO,España,La Universidad Europea del Atlántico,Varias áreas,Presencial,2026-10-15,
Maestría,La Universidad Tsinghua en Beijing,Beca completa Schwarzman 2024,China,Universidad Tsinghua en Beijing,"Humanidades, Estudios internacionales,  Economía y negocios",Presencial,2026-09-01,
Maestría,DAAD,Detalles de la Beca DAAD EPOS,Alemania,Hochschule für Technik und Wirtschaft Berlin (HTW),Varias áreas,Presencial,2026-09-30,
Formación,Fundación Friedrich Ebert Stiftung,Becas Friedrich Ebert Stiftung,Alemania,Universidades y colegios técnicos vinculados a Friedrich Ebert Stiftung,Varias áreas,Presencial,2026-05-31,
Maestría,Leiden Law School,Leiden University Excellence Scholarship (LExS),Paises Bajos,Leiden Law School,Arqueologia y Humanidades,Presencial,2026-02-01,
Maestría,El Ministerio de Educación Superior de Malasia,Beca en Malasia 2025 completa para latinos,Malasia,Programa de Cooperación Técnica de Malasia (MTCP),Varias áreas,Presencial,2025-06-13,
Formación,Educations.com,Beca Mujeres para estudiantes internacionales,Varios,Varias,Varias áreas,Presencial,2026-08-28,
Pregrado/Posgrado,Maryville University,"Presidential Scholarship, Maryville University",Estados Unidos,Maryville University,Varias áreas,Presencial,2026-12-01,
Maestría / Doctorado,Gobierno de Singapur,SINGAPORE INTERNATIONAL GRADUATE AWARD (SINGA),Singapur,"Agencia de Ciencia, Tecnología e Investigación de Singapur – Institutos suscritos a SINGA.","Ciencias, investigación y tecnologías",Presencial,2026-03-01,
Pregrado,La Universidad de Simmons,Beca Kotzen en Estados Unidos Para Latinos,Estados Unidos,La Universidad de Simmons,Varias áreas,Presencial,2026-12-01,
Pregrado,Boise State University,Becas para estudiantes internacionales de pregrado,Estados Unidos,Admisiones internacionales,Varias áreas,Presencial,2025-12-15,
Capacitación,Latin America Leadership Program de Georgetown University,Becas Programa de liderazgo en Georgetown - Estados Unidos,Estados Unidos,McDonough School of Business Office of Executive Education,Varias áreas,Virtual,2026-08-15,
Formación,Universidad de Yale,Beca en Estados Unidos – Universidad de Yale,Estados Unidos,Universidad de Yale,"Agronomía, Artes y Humanidades, Ciencias Naturales y Exactas, Salud,Computación, Administración,Ingeniería, Manufactura y Construcción",Presencial,2024-12-15,
Pregrado,ADMISSIONS,New York Tech Scholarships,Estados Unidos,Instituto Tecnología de Nueva York,Varias áreas,Presencial,2026-05-15,
Maestría,McCall MacBain,Becas McCall MacBain para estudios de maestría en McGill University en Canadá,Canadá,McGill University,Varias áreas,Presencial,Abren en Junio de 2026,
Posgrado,Universidad de Tecnología de Swinburne,Australia Awards Scholarship,Australia,Universidad de Tecnología de Swinburne,Varias áreas,Presencial,2026-04-01,
Maestría,Escuela Politécnica Federal de Lausanne,Beca de Maestría EPFL en Suiza,Suiza,École Polytechnique Fédérale de Lausanne,Varias áreas,Presencial,2026-03-31,
Posgrado,Universidad de Dayton,Becas de la Universidad de Dayton en Estados Unidos,Estados Unidos,Universidad de Dayton,Varias áreas,Presencial,2026-05-01,
Investigación,Abel Visiting Scholar,Abel Visiting Scholar,Alemania,Abel Visiting Scholar,Matemáticas,Presencial,2025-04-30,
Maestría,Universidad Tecnológica de Viena,Becas Helmut Veith en Austria para Mujeres,Austria,Universidad Tecnológica de Viena,Informatica y Computación,Presencial,2025-11-30,
Pregrado/Posgrado,Bangor University,Deans Scholarship,Reino Unido,Bangor University,Varias áreas,Presencial,2026-06-30,
Posgrado,La Universidad Americana del Cairo (AUC),Beca completa AUC en Egipto para latinos,Egipto,La Universidad Americana del Cairo (AUC),Varias áreas,Presencial,2026-05-03,
Maestría,Universidad Internacional de Japón.,Beca completa IUJ en Japón,Japón,Universidad Internacional de Japón.,Varias áreas,Presencial,2026-01-25,
Pregrado,La Universidad de Winnipeg,Becas de la Universidad de Winnipeg en Canadá,Canadá,La Universidad de Winnipeg,"Biologia, Informatica y computación",Presencial,2026-02-01,
Pregrado / Maestría,El Ministerio de Educación de Corea,Becas Completas GKS 2024 en Corea del Sur,Corea del Sur,Universidades Coreanas,Varias áreas,Presencial,2026-09-01,
Posdoctoral,Alexander von Humboldt Foundation.,"Becas Georg Forster Research Fellowship, 2024",Alemania,Universidades Alemanas,Investigación,Presencial,2026-10-01,
Posgrado,OEA,"Becas OEA - Rowe Fund Student Loan program, 2024",Estados Unidos,Universidades de EEUU,Varias áreas,Presencial,Todo el año-5to dia de cada mes,
Pregrado,Simmons University,"Becas Simmons Distinguished Scholar Award de la Universidad Simmons, en Estados Unidos, 2025",Estados Unidos,Simmons University,Varias áreas,Presencial,2026-12-01,
Maestría / Doctorado,Universidad de Hohai,Beca de Maestría y Doctorado Completa CSC China,China,Universidad de Hohai,Varias áreas,Presencial,2026-04-30,
Maestría,Erasmus Mundus,Master of Science Programme,"Austria, Alemania, Países Bajos",Varias Universidades,"Cartografìa, geologìa, geoinformàtica",Presencial,2026-05-31,
Pregrado,Miami University,"Beca Presidential Fellows - Miami University, 2024",Estados Unidos,Miami University,Varias áreas,Presencial,2026-12-01,
Maestria,La Fundación Boustany y la Escuela de negocios de la Universidad Harvard,"Becas Boustany MBA Scholarship en la Universidad de Harvard, 2025",Estados Unidos,Escuela de negocios de la Universidad Harvard,"Ciencias sociales, administración",Presencial,2027-05-31,
Pregrado,Stamps Family Charitable Foundation,"Beca Stamps Scholarship de la Universidad de Miami, 2025",Estados Unidos,University of Miami,Varias áreas,Presencial,2026-11-01,
Posgrado,Universidad de Pisa,"Becas del Proyecto Inclinados de la Universidad de Pisa, Italia, 2024",Italia,Universidad de Pisa,Varias áreas,Presencial,2025-05-31,
Posgrado,Gobierno de la República Eslovaca,"Becas National Scholarship Programme NSP del Gobierno de la República Eslovaca, 2024",Eslovaquia,Universidades Eslavas,Varias áreas,Presencial,2026-04-30,
Pregrado,University of New Haven,Scholarships for International Students,Estados Unidos,Varias,Varias áreas,Presencial,2026-05-01,VIGENTE
Investigación,La Escuela de Posgrado de OIST,"Programa de prácticas de investigación en OIST - Japón, 2024",Japón,Escuela de Posgrado de la Okinawa Institute of Science and Technology,Varias áreas,Presencial,2026-03-31,
Maestría,University of Auckland,University of Auckland International Business Masters Scholarship,Nueva Zelanda,Varias,Negocios,Presencial,2026-05-27,VIGENTE
Doctorado,Deakin University,Warrnambool Campus International Bursary,Australia,Varias,Varias áreas,Presencial,2028-07-01,VIGENTE
Maestría,Universidad del Valle de Fraser,Becas de la Universidad del Valle de Fraser en Canadá,Canadá,Universidad del Valle de Fraser,Varias áreas,Presencial,Abierta todo el año,
Formación,Curtin University,Australia Awards Scholarships (AAS),Australia,Curtin University,"Ciencias Puras y Aplicadas, Negocios, Administración",Presencial,Abierta todo el año,
Formación,Canadian Imperial College,Becas del Canadian Imperial College en Canadá,Canadá,Canadian Imperial College,Varias áreas,Presencial,Abierta todo el año,
Formación,Finnish National Agency for Education,EDUFI Fellowship,Finlandia,Varias Universidades,Varias áreas,Presencial,2025-10-17,VIGENTE
Maestría,Universidad de Radboud,Radboud Scholarship Programme,Holanda,Universidad de Radboud,"Biología, Química, Ciencias de la Computación, Matemáticas",Presencial,2026-01-31,
Maestrías,Agencia de Cooperación Internacional de Corea - KOICA,2023 KOICA Scholarship Program,Corea,Depende del área seleccionada,"agricultura, economía, comunicación, salud, desarrollo urbano, TI, cambio climático",Presencial,2025-11-06,
Pasantía,El Banco Mundial (The World Bank).,"Becas World Bank Winter Internship Program, 2025-1",Estados Unidos,Varias,"Ciencias sociales, administración y derecho",Presencial,2026-02-17,
Pregrado,McMaster University,Dean's Global Distinction Scholarship,Canadá,Varias,Varias áreas,Presencial,2026-02-19,
Maestría,Unión Europea,Erasmus+ Master Degree Scholarships,Europa,Varias universidades,"Agro, Art, Chemistry, Economic sciences, Education, Enviromental and geosciences, Geo, History, Physics,  Information Science and Engineering, Information technology, Law, Life sciences, Literature, Mathematics, Med,, Political sciences, Psycology.",Presencial,Depende del programa (Enero o Agosto),
Maestría,Unión Europea,International masters programmes,Países Bajos,University Rotterdam,"Auditoría, administración, economía, arte y cultura.",Presencial,Depende del programa (usualmente en mayo),
Formación,Trent University,Trent University Entrance Scholarships,Canadá,Trent University,Varias áreas,Presencial,2026-04-01,
Formación,DAAD (Globo Común),Development-Related Postgraduate Courses (EPOS) 2024-2025,Alemania,Varias universidades,"Ciencias Económicas, Administración de Empresas, Economía Política, Cooperación para el desarrollo, Ingeniería y Ciencias Afines, Planificación Regional y Urbana, Ciencias Agrícolas y Forestales, Ciencias Naturales y Ambientales, Medicina, Salud Pública, Ciencias Sociales, Educación y Derecho, Estudios de Medios.",Presencial,2026-05-01,
Pregrado / Maestría,Stamps Scholars Program,"Becas Stamps Scholars, 2024",Estados Unidos,Universidades y centros académicos en Estados Unidos y el Reino Unido,Varias áreas,Presencial,Enero o Diciembre - Depende de la universidad,
Formación,The University of Queensland,Programa de becas de la UQ,Australia,The University of Queensland,Varias áreas,Presencial,Todo el año-Depende del programa,
Pregrado,Escuela de Negocios e Innovación de Berlín,Fundación beca,Alemania,Varias,Ciencias sociales y humanidades,Presencial,Abril o Octubre -Depende del programa,
Pregrado,Escuela de Negocios GISMA,Fundación beca,Alemania,Varias,Ciencias sociales y humanidades,Presencial,Abril o Octubre -Depende del programa,
Doctorado,Faculty of Health and Medical Sciences,PhD fellowship in epitope based malaria vaccine development at Department of Immunology and Microbiology,Dinamarca,Universidad de Copenhague,Medicina,Presencial,2026-03-16,
Doctorado,Universidad de Edimburgo,Becas de Doctorado en Revisiones de Asma,Reino Unido,Proyectos de investigación de doctorado,Varias áreas,Presencial,Depende del programa (Entre enero y febrero),
Pregrado,Chatham University,Beca de Pregrado en Diversas Áreas,Estados Unidos,Chatham University,Varias áreas,Presencial,Junio a Diciembre -Depende del programa,
Pregrado,New Brunswick Community College,Beca NBCC Foundation Awards,Canadá,Becas y premios,Varias áreas,Presencial,Agosto a Octubre-Depende del programa,
Pregrado,Massey University,Scholarships and awards,Nueva Zelanda,Varias,Varias áreas,Presencial,Todo el año,
Pregrado,The Pennsylvania State University,Penn State Education Abroad Scholarships,Estados Unidos,Varias,Varias áreas,Presencial,2026-07-15,
Pregrado,La Universidad de Stirling,Becas para estudios de Pregrado en la Universidad de Stirling en Escocia,Reino Unido,La Universidad de Stirling,Varias áreas,Presencial,Septiembre de 2025 o enero de 2026,
Pasantías,Programa de investigación para estudiantes visitantes,Pasantías KAUST VSRP 2024,Arabia Saudita,Universidad de Ciencia y Tecnología Rey Abdullah,Varias áreas,Presencial,Todo el año,
Posgrado,Asociación Universitaria Iberoamericana de Postgrado (AUIP),"Programa de Movilidad Académica entre Instituciones Asociadas a la AUIP, 2024-2",Países de América Latina,Asociación Universitaria Iberoamericana de Postgrado (AUIP),"Agronomía y veterinaria, Artes y Humanidades, Ciencias Naturales, Exactas y de la Computación, Ciencias Sociales, Administración y Derecho , Educación, Ingeniería, Manufactura y  Construcción , Salud, Servicios",Presencial,2026-10-31,
Maestría,OEA Brasil,Programa de Becas y Capacitación de la OEA,Países de América Latina y europa,Varias Universidades,Varias áreas,Presencial,2026-04-29,
Maestría,École Normale Supérieure,ETS INTERNAL,Canadá,Varias,Ingeniería,Presencial,2026-01-26,VIGENTE
